battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range_tenge,price_category
2453,1,2.42,0,11,0,128,0.73,145,8,23,1282,2486,4146,15,8,22,0,1,1,282244,Mid-range
2976,0,2.54,0,31,0,512,1.11,146,8,23,1584,5054,15351,16,10,22,0,1,1,650155,Flagship
1630,1,2.13,1,7,0,128,0.71,178,6,6,1378,2537,3371,15,7,16,0,1,1,258404,Mid-range
688,1,1.16,1,3,1,32,0.5,187,2,6,892,1604,2621,12,7,9,1,1,1,90188,Ultra-budget
1431,0,1.89,0,6,0,32,0.67,179,6,13,1745,1633,4922,15,8,22,0,1,1,179913,Budget
2485,1,2.79,1,10,1,256,0.91,147,8,21,1218,2978,5862,17,8,19,1,1,1,452744,High-end
845,0,1.72,0,1,0,32,0.75,222,4,4,483,1021,635,8,5,13,0,1,1,105871,Budget
952,0,1.51,1,3,0,16,0.55,202,4,4,846,842,2889,9,4,12,0,1,1,106551,Budget
1313,1,1.93,0,9,1,32,0.74,160,4,11,1137,1916,3978,14,7,15,1,1,1,205182,Mid-range
2216,1,2.56,1,33,0,256,1.01,152,8,34,3519,4740,14991,18,11,24,0,1,1,739585,Flagship
1158,1,1.11,0,1,0,16,0.79,219,4,8,1276,1777,974,8,7,18,0,1,1,77429,Ultra-budget
1650,1,2.74,0,16,1,256,0.88,150,8,24,1367,2153,5697,16,8,21,1,1,1,274469,Mid-range
2951,1,3.1,1,25,0,512,1.06,156,8,20,2916,3304,15256,19,9,25,1,1,1,793500,Flagship
2027,1,3.07,0,21,0,256,1.13,134,8,30,3599,3077,10351,17,11,22,0,1,1,666484,Flagship
776,0,1.63,0,0,0,32,0.79,227,4,4,990,1068,2099,9,4,9,1,1,1,126255,Budget
2057,0,2.58,1,18,0,256,0.96,140,8,13,1987,2837,5636,15,9,23,0,1,1,269081,Mid-range
1763,0,2.52,1,19,1,128,0.84,140,8,17,1269,3011,6715,17,8,22,1,1,1,267451,Mid-range
920,1,1.38,0,0,0,4,0.5,195,2,3,584,908,1862,8,6,14,0,1,1,58127,Ultra-budget
2435,0,2.49,0,28,0,256,1.1,143,8,34,3603,2671,13463,18,11,33,0,1,1,573089,Flagship
1453,1,1.73,0,7,1,128,0.76,169,4,5,769,2437,5173,14,6,17,1,1,1,141682,Budget
2041,0,2.44,0,10,0,256,0.8,140,8,25,1180,2175,8475,16,9,19,0,1,1,320212,Mid-range
2204,1,2.23,0,19,1,256,0.99,146,8,23,1442,2255,8891,15,9,27,1,1,1,488591,High-end
3144,0,3.15,0,23,0,256,1.19,158,8,22,3294,2662,10064,19,9,34,1,1,1,614984,Flagship
